index,sid,text,polarity,file
15,rev-16,بنابراین شما می‌مانید و یک پورت USB برای اتصال به رایانه.,0,data/main/HP LaserJet M1132.xml
16,rev-17,Hp زمان راه اندازی و Setup را با استفاده از فن آوری Smart Install Technology به طور چشمگیری کاهش داده است که به شما اجازه می‌دهد تا بدون احتیاج به یک CD جداگانه برای نصب،  فقط پرینتر را به رایانه متصل کنید تا سپس عمل نصب به صورت خودکار انجام گیرد.,+1,data/main/HP LaserJet M1132.xml
17,rev-18,پنل کنترل خیلی ساده است و فقط دو نمایشگر LED در کنار دکمه های بالا و پایین،  Start و Stop،  دکمه‌ی Setup،  دکمه‌ی Dark/Light tone و دکمه‌ی Copy Size قرار گرفته است.,0,data/main/HP LaserJet M1132.xml
18,rev-19,سرعت پرینت به نوعی فوق العاده می‌باشد،  به طوری که در تنظیمات استاندارد با رزولوشن 600،  این پرینتر توانایی چاپ 18 صفحه‌ی A4 در دقیقه را دارد.,+2,data/main/HP LaserJet M1132.xml
19,rev-20,اگر در همین رزولوشن آن را بر روی Economic mode قرار دهید،  سرعت به 19 صفحه در دقیقه افزایش می‌یابد.,+1,data/main/HP LaserJet M1132.xml
20,rev-21,حتی اگر رزولوشن را به 1200 برسانید هم سرعت به 12 صفحه در دقیقه کاهش می‌یابد که باز هم سرعت خوبیست.,+1,data/main/HP LaserJet M1132.xml
21,rev-22,کیفیت پرینت در هر دو رزولوشنی که گفتیم،  خیلی خوب است و رنگ مشکی کاملا مشخص و غلیظ می‌باشد.,+2,data/main/HP LaserJet M1132.xml
22,rev-23,رزولوشن اسکن می‌تواند به 1200dpi هم برسد.,0,data/main/HP LaserJet M1132.xml
23,rev-24,ولی در نظر داشته باشید که با رزولوشن پیشفرض 150dpi،  سرعت اسکن به بیش از 4 صفحه در دقیقه نمی‌رسد.,0,data/main/HP LaserJet M1132.xml
24,rev-25,کاربرانی که به مصرف انرژی اهمیت می‌دهند حتما خوشحال می‌شوند که این پرینتر دارای ویژگی به نام Auto on/Auto off است که باعث می‌شود وقتی پرینتر احساس می‌کند که مورد استفاده قرار نمی‌گیرد به صورت خودکار به مود Sleep برود.,+1,data/main/HP LaserJet M1132.xml
25,rev-26,به هر صورت همانطور که گفتیم،  Hp Laser Jet Pro M1132 MFP پرینتر لیزری سیاه و سفیدی (تک رنگ) است که سرعت و کیفیت بسیار بالایی را در عمل چاپ ارایه می‌دهد.,+2,data/main/HP LaserJet M1132.xml
26,rev-27,توانایی عملیات اسکن و کپی هم باعث می‌شوند که بتوانید دست کم در سه مورد از این پرینتر استفاده کنید.,+1,data/main/HP LaserJet M1132.xml
27,rev-28,با این حال برای پایین نگه داشتن قیمت،  سعی شده که ظاهر،  کنترل پنل و کانکشن های آن ساده باشند.,0,data/main/HP LaserJet M1132.xml
28,rev-29,بنابراین اگر به دنبال پرینتری با این ویژگی‌ها هستید،  M1132 گزینه‌ی مناسبی است.,+1,data/main/HP LaserJet M1132.xml
0,gr-1-1,من دو سال است که از اين پرينتر استفاده مي کنم.,0,data/main/HP LaserJet M1132.xml
1,gr-1-2,کار با آن بسيار راحت و ساده است.,+2,data/main/HP LaserJet M1132.xml
2,gr-1-3,تنها عيبي که دارد در موقع  استفاده صداي نسبتا زيادي دارد.,-1,data/main/HP LaserJet M1132.xml
0,gr-2-1,با توجه به قيمتش پرينتر خوبيه.,+1,data/main/HP LaserJet M1132.xml
1,gr-2-2,سرعت پرينتش بد نيست و از کيفيت اسکنش هم راضيم اما موقع کپي کردن کيفيت کپي مطلوب نيست و کمي تيره کپي ميکنه که به نظر من بهتره اول يه اسکن از متن يا عکسي که ميخوايد کپي کنيد بگيريد بعد پرينت کنيد تا کيفيت مناسبي داشته باشه.,0,data/main/HP LaserJet M1132.xml
2,gr-2-3,در کل پرينتر خوبيه!,+1,data/main/HP LaserJet M1132.xml
0,gr-3-1,اين پرينتر فوق العاده است.,+2,data/main/HP LaserJet M1132.xml
1,gr-3-2,من يک سالي شده که اين پرينتر خريدم ولي تا به حال هيچ مشکلي باهاش نداشتم.,+1,data/main/HP LaserJet M1132.xml
2,gr-3-3,هم 3 کارست هم قيمتش با توجه با کاراييش خيلي مناسبه هم اندازه اش متناسبه و هم شيک و زيباست.,+2,data/main/HP LaserJet M1132.xml
3,gr-3-4,در مورد کيفيت اسکن و پرينت و کپي مي تونين خودتون تغييرش بدين و در کل عاليه!,+2,data/main/HP LaserJet M1132.xml
0,gr-4-1,خيلي کارش درسته من که تا حالا باهاش مشکلي نداشتم.,+2,data/main/HP LaserJet M1132.xml
1,gr-4-2,نسبت به کارايي اين دستگاه قيمتش خيلي مناسبه ولي يه چيزي يه کم صداش زيادي بلنده.,0,data/main/HP LaserJet M1132.xml
0,gr-5-1,فضاي کمي اشغال ميکند و به دليل سه کاره بودن خيلي از دست آن راضي خواهيد بود و سرعت خوبي هم دارد براي نصب هم نياز به سي دي نداريد و در مدت زمان کمي نصب ميشه.,+2,data/main/HP LaserJet M1132.xml
0,cr-1-1,دستگاه خوبي است سرعت و کنترلرهاي خوبي دارد کپي و اسکن خوب انجام ميدهد.,+1,data/main/HP LaserJet M1132.xml
1,cr-1-2,هر از چند گاهي مثلن وقتي که برق قطع ميشود کاغذ که وسط دستگاه گير کرده براي در آوردنش ريسک بايد بکني بکشي در بياد يا نه مونده به شانس شما از روشهاي مختلف امتحان کردم خودش نميتونه در بياره.,-1,data/main/HP LaserJet M1132.xml
2,cr-1-3,از ساير نظر خوب است انشالله که برق قطع نشود و يا آدم خوش شانسي باشيد.,+1,data/main/HP LaserJet M1132.xml
3,cr-1-4,در مجموع نسبت به قيمت خوب است.,+1,data/main/HP LaserJet M1132.xml
4,cr-1-5,تونرش ميتونست حجيم تر از اين باشد که هست.,0,data/main/HP LaserJet M1132.xml
0,gr-1-1,به نظرم نمي ارزه,-1,data/main/Sony Ericsson Xperia Pureness.xml
0,gr-2-1,قيمت بالاي اين گوشي بخاطر صفحه نمايش فوق العاده اين گوشيه،  ميشه پشت گوشي رو از داخل صفحه نمايش ديد!,+1,data/main/Sony Ericsson Xperia Pureness.xml
0,cr-1-1,با توجه به خاص بودن صفحه نمايش قيمت آن بالا ميباشد  .,0,data/main/Sony Ericsson Xperia Pureness.xml
1,cr-1-2,ولي ميتوان با اين قيمت يکي ديگر از اعضاي خانواده اکسپريا را خريد - اکسپريا U - که از لحاظ سخت افزاري واقعا با اين گوشي قابل قياس نيست .,0,data/main/Sony Ericsson Xperia Pureness.xml
2,cr-1-3,ولي بايد به اين نکته هم توجه کرد که براي افرادي که توانايي کنار آمدن با سيستم عامل هاي ديگر و به طور کلي با اسمارت فون ها را ندارند و در عين حال ميخواهند يک گوشي خاص داشته باشند بسيار عالي ميباشد .,+2,data/main/Sony Ericsson Xperia Pureness.xml
3,cr-1-4,البته اگر اين گوشي قيمت به مراتب پايين تري داشت حتما به عنوان گوشي دوم  آن را خريداري ميکردم به اين دليل که 1 وزن آن بسيار کم است 2 حافظه داخلي قابل قبولي دارد                                                                                                                                                                   ,+1,data/main/Sony Ericsson Xperia Pureness.xml
0,cr-2-1,گوشي بسيار زيبا و مدگرا ميباشد,+2,data/main/Sony Ericsson Xperia Pureness.xml
0,rev-1,ZS6 از هر نظر یک کامپکت کاملا معمولی است.,-1,data/main/Casio Exilim EX-ZS6.xml
1,rev-2,بعلاوه از سنت راحی خود کاسیو هم پیروی کرده و شکل و شمایل آن کاملا کاسیویی می باشد.,0,data/main/Casio Exilim EX-ZS6.xml
2,rev-3,کاملا کوچک است و به راحتی در کف دست جای می گیرد.,+1,data/main/Casio Exilim EX-ZS6.xml
3,rev-4,در قلب این دوربین یک سنسور تصویر 16 مگاپیکسلی CCD قرار گرفته که رزولوشن خیلی بالایی را ارائه می دهد و در شرایط نوری مناسب می توانید عکس های با کیفیتی را با آن تهیه کنید.,+2,data/main/Casio Exilim EX-ZS6.xml
4,rev-5,بعلاوه فیلم برداری 720p HD نیز با آن مقدور می باشد که خیلی خوب است.,+2,data/main/Casio Exilim EX-ZS6.xml
5,rev-6,لنز ZS6 خیلی لنز خوبی است به طوری که کمینه ی فاصله ی کانونی آن 26 میلی متر می باشد که در این حال میدان دید خیلی گسترده ای را می تواند در یک میدان دید پوشش دهد.,+2,data/main/Casio Exilim EX-ZS6.xml
6,rev-7,توانایی زوم 5 برابر هم برای آن خیلی مناسب است ولی از همه بهتر کمینه ی نسبت کانونی f/2.8 آن است که باعث می شود عملکرد این دوربین در شرایط نوری ضعیف خیلی بهبود یابد.,+2,data/main/Casio Exilim EX-ZS6.xml
7,rev-8,در قسمت پشت این دوربین نیز نمایشگر 2.7 اینچی 230000 پیکسلی قرار گرفته که نسبت به این دوربین امکانات و کیفیت خیلی خوبی را ارائه می دهد.,+2,data/main/Casio Exilim EX-ZS6.xml
8,rev-9,عکاسی با این دوربین کار بسیار ساده ایست،  کافیست که آن را بر روی مود اتوماتیک قرار دهید،  سپس به سوی سوژه نشانه بروید و دکمه ی شاتر را بفشارید تا بهترین و با کیفیت ترین عکس ها بدست آید.,+2,data/main/Casio Exilim EX-ZS6.xml
9,rev-10,به هر صورت همانطور که گفتیم،  ZS6 دوربین نسبتا ارزان قیمت خیلی خوبیست که امکانات خوب را در برابر قیمت مناسب ارائه می کند.,+2,data/main/Casio Exilim EX-ZS6.xml
0,rev-1,همان‌طور که گفتیم،  به جز سه تفاوتی که در لنز،  عدم عکاسی در فرمت خام RAW و عدم تجهیز به GPS که بین F660 و F770 وجود دارد،  و همچنین مقداری اختلاف جزئی در طراحی بدنه و وزن دوربین،  این دو کاملا شبیه به یکدیگر می‌باشند.,0,data/main/Fujifilm FinePix F660EXR.xml
1,rev-2,بنابراین بسیاری از نظراتی که درباره‌ی F770 داده بودیم در مورد این یکی هم صادق است.,0,data/main/Fujifilm FinePix F660EXR.xml
2,rev-3,همانند F770،  این دوربین هم طراحی بسیار شکیل و زیبایی دارد که هم از نظر زیبایی شناختی و هم ارگونومی از مدل‌های پیشین بهتر است.,+2,data/main/Fujifilm FinePix F660EXR.xml
3,rev-4,در قسمت سمت راست آن دستگیره‌ی نصفه و نیمه ای ساخته شده که باعث می‌شود در دست گرفتن دوربین خیلی فراتر از حد انتظار آسان شود.,+1,data/main/Fujifilm FinePix F660EXR.xml
4,rev-5,بدنه از ماده ای لاستیک اندود شده ساخته شده که در هنگام لمس احساس خیلی خوبی را منتقل می‌کند.,+2,data/main/Fujifilm FinePix F660EXR.xml
5,rev-6,به خصوص اینکه باعث می‌شود که احتمال لیز خوردن دوربین در دست کمتر گردد و اثری از لکه و اثر انگشت هم بر روی آن باقی نماند.,+1,data/main/Fujifilm FinePix F660EXR.xml
6,rev-7,به دلیل لنز کوچک‌تری که F660 نسبت به لنز F770 به آن مجهز است،  قطر بدنه‌ی آن نیز کمتر از برادر خود می‌باشد.,0,data/main/Fujifilm FinePix F660EXR.xml
7,rev-8,در ضمن به دلیل عدم تجهیز به GPS؛ آن برآمدگی قسمت بالای دوربین دیگر دیده نمی‌شود.,0,data/main/Fujifilm FinePix F660EXR.xml
8,rev-9,طراحی قسمت لبه‌ی بالایی و چینش دکمه‌ها هم کمی نسبت به F770 تفاوت دارد.,0,data/main/Fujifilm FinePix F660EXR.xml
9,rev-10,چینش دکمه‌ها و کنترل‌های دوربین واقعا عالیست.,+2,data/main/Fujifilm FinePix F660EXR.xml
10,rev-11,وقتی دوربین را با یک دست نگه داشته‌اید،  انگشت شست دست راست شما به راحتی می‌تواند به بیشتر کنترل‌های مهم دسترسی پیدا کند.,+1,data/main/Fujifilm FinePix F660EXR.xml
11,rev-12,پیچ تنظیم شوتینگ مودها هم مثل مدل‌های پیشین رو به عقب ساخته شده ولی طراحی آن خیلی تمیز تر می‌باشد و احساس نمی‌کنیم که گویی آن قسمت از دوربین بر اثر گرما ذوب شده باشد.,+1,data/main/Fujifilm FinePix F660EXR.xml
12,rev-13,F660 از بیشتر دوربین‌های کامپکت point to shoot بزرگ‌تر می‌باشد.,0,data/main/Fujifilm FinePix F660EXR.xml
13,rev-14,ولی این بزرگ‌تر بودن باعث نشده که در دست گیری آن سخت شود.,+1,data/main/Fujifilm FinePix F660EXR.xml
14,rev-15,ابعاد دقیقا آن نیز 104 x 59 x 33 میلی متر است که تا حدودی از F770 هم باریک‌تر و هم کوچک‌تر می‌باشد.,0,data/main/Fujifilm FinePix F660EXR.xml
15,rev-16,مودهای عکاسی که از طریق پیچ تنظیم می‌توانند انتخاب شوند واقعا متنوع هستند.,+1,data/main/Fujifilm FinePix F660EXR.xml
16,rev-17,همانند مدل‌های پیشین،  F660 نیز دوربینی است که می‌تواند علاوه بر عکاسان مبتدی یا کسانی که فقط با فشردن دکمه‌ی شاتر قصد عکاسی دارند،  مورد استفاده‌ی عکاسان حرفه ای هم قرار گیرد.,0,data/main/Fujifilm FinePix F660EXR.xml
17,rev-18,"به خصوص اینکه مجهز به مودهای عکاسی حرفه ای تر P,A,S,M هم می‌باشد.",+1,data/main/Fujifilm FinePix F660EXR.xml
18,rev-19,ولی برخلاف F770 نمی‌توان در فرمت حرفه ای تر و خام RAW با آن عکاسی کرد.,-1,data/main/Fujifilm FinePix F660EXR.xml
19,rev-20,بدین ترتیب با این دوربین فقط می‌توانید در فرمت JPEG عکاسی نمایید.,0,data/main/Fujifilm FinePix F660EXR.xml
20,rev-21,مود EXR این دوربین درست مانند مود عکاسی intelligent Auto و Smart Auto بر روی دوربین‌های دیگر عمل می‌کند.,0,data/main/Fujifilm FinePix F660EXR.xml
21,rev-22,با گذاشتن دوربین بر روی این مود،  کافیست که برای گرفتن عکس آن را به سوی سوژه نشانه بروید و دکمه‌ی شاتر را بفشارید تا دوربین خود نوع صحنه،  شرایط نوری و دیگر موارد را بسنجد و تنظیمات را بر روی بهترین حالت قرار دهد تا با کیفیت‌ترین عکس بدست آید.,+1,data/main/Fujifilm FinePix F660EXR.xml
22,rev-23,مود Adv (Advanced) قابلیت‌های خیلی خوبی مثل اینکه چند عکس در کنار هم برای عکاسی پانوراما تهیه کنید را به شما می‌دهد.,+1,data/main/Fujifilm FinePix F660EXR.xml
23,rev-24,این دوربین توانایی ضبط ویدیویی 1080p Full HD را نیز دارد.,+1,data/main/Fujifilm FinePix F660EXR.xml
24,rev-25,این فیلم برداری می‌تواند با سرعت 30 فریم انجام شود و امکان استفاده از زوم کامل اپتیکال و ضبط صدای استریو نیز با آن وجود دارد.,0,data/main/Fujifilm FinePix F660EXR.xml
25,rev-26,به نظر می‌رسد که F660 واقعا فیلم بردار خوبی باشد.,+1,data/main/Fujifilm FinePix F660EXR.xml
26,rev-27,بعلاوه اینکه این دوربین توانایی ضبط ویدیویی با سرعت خیلی زیاد بعلاوه اینکه این دوربین توانایی ضبط ویدیویی با سرعت خیلی زیاد 320 فریم بر ثانیه را نیز دارد تا بعدا وقتی آن را با سرعت 30 فریم بر ثانیه مشاهده می‌کنید یک فیلم اسلوموشن را شاهد باشید.,+1,data/main/Fujifilm FinePix F660EXR.xml
27,rev-28,همچنین این دوربین توانایی عکاسی پیاپی با سرعت 8 فریم بر ثانیه در رزولوشن کامل را نیز دارد.,+1,data/main/Fujifilm FinePix F660EXR.xml
28,rev-29,عکاسی پیاپی با سرعت 11 فریم بر ثانیه هم می‌تواند انجام گیرد ولی رزولوشن به 8 مگاپیکسل کاهش می‌یابد.,-1,data/main/Fujifilm FinePix F660EXR.xml
29,rev-30,همان‌طور که گفتیم،  این دوربین مجهز به لنز فوجینون 24-360 میلی متر با توانایی زوم 15 برابر است که تا کنون برای یک دوربین کامپکت در این ابعاد کوچک بی سابقه بوده است.,+1,data/main/Fujifilm FinePix F660EXR.xml
30,rev-31,این لنز در حالت واید 24 میلی متر به راحتی می‌تواند میدان دیدی کاملا گسترده را پوشش دهد تا در یک عکس بتوانید تصویر یک چشم انداز طبیعی پهناور را ثبت کنید.,+1,data/main/Fujifilm FinePix F660EXR.xml
31,rev-32,همچنین برای عکاسی از محیط‌های داخلی و یا جمع بزرگ دوستان هم مناسب است.,+1,data/main/Fujifilm FinePix F660EXR.xml
32,rev-33,هرچند که این دوربین از داشتن لنز با توانایی زوم 20 برابر F770 محروم است،  اما توانایی زوم 15 برابر آن نیز باعث می‌شود تا بتوانید سوژه‌هایی کاملا دوردست را هم با کیفیتی کاملا بالا ثبت کنید.,+1,data/main/Fujifilm FinePix F660EXR.xml
33,rev-34,بعلاوه‌ی اینکه چنین لنزی بر روی این دوربین کامپکت واقعا کم نظیر است.,+2,data/main/Fujifilm FinePix F660EXR.xml
34,rev-35,به دلیل توانایی تولید چنین بزرگنمایی زیادی،  لرزش دست می‌تواند در عکس گرفته شده تاثیر زیادی داشته باشد و به راحتی مقدار کمی از آن باعث به طور کلی تار شدگی عکس شود.,-1,data/main/Fujifilm FinePix F660EXR.xml
35,rev-36,به همین دلیل نیز F660 از لرزش گیر ترکیبی تصویر مکانیکی پیشرفته و الکترونیکی بهره می‌برد تا بتوانید با خیال آسوده و حتی در سرعت‌های شاتر پایین و بزرگنمایی های بالا نیز عکس‌های خیلی شارپ و با کیفیتی تولید کنید.,+2,data/main/Fujifilm FinePix F660EXR.xml
36,rev-37,اما کمینه‌ی نسبت کانونی آن در حالت واید و زوم،  f/3.5-5.6 می‌باشد که عالی نیست ولی خوب است تا در عکاسی شرایط نوری ضعیف هم مشکل زیادی نداشته باشید.,+1,data/main/Fujifilm FinePix F660EXR.xml
37,rev-38,طبق ادعای فوجی فیلم این دوربین می‌تواند در مدت زمان 0.16 ثانیه بر روی سوژه فوکوس کند تا یکی از سریع‌ترین مکانیسم‌های فوکوس خودکار را هم به خود اختصاص داده باشد.,+1,data/main/Fujifilm FinePix F660EXR.xml
38,rev-39,سنسور تصویر 16 مگاپیکسلی CMOS این دوربین دقیقا همانی است که بر روی دوربین F600 سال گذشته و دوربین همزمان معرفی شده‌ی F770 هم وجود دارد و از این لحاظ هیچ تغییری بین این سه به چشم نمی‌خورد.,0,data/main/Fujifilm FinePix F660EXR.xml
39,rev-40,"نمایشگر 3 اینچی هم رزولوشن 460,000 پیکسل را ارایه می‌دهد که رزولوشن بسیار بالا و خوبیست.",+2,data/main/Fujifilm FinePix F660EXR.xml
40,rev-41,این دوربین مجهز به یک فلاش Pgr-up قدرتمند با برد موثر 3.7 متر نیز هست.,+1,data/main/Fujifilm FinePix F660EXR.xml
41,rev-42,در قسمت لبه‌ی سمت راست دوربین کاوری لاستیکی دیده می‌شوند که پورت‌های این دوربین زیر آن قرار گرفته‌اند.,0,data/main/Fujifilm FinePix F660EXR.xml
42,rev-43,در زیر آن می‌توانیم شاهد یک پورت استاندارد HDMI و یک پورت AV/USB هم دیده می‌شود.,0,data/main/Fujifilm FinePix F660EXR.xml
43,rev-44,F660 مجهز به باتری لیتیوم-یونی قابل شارژ NP-50A می‌باشد که در هر بار شارژ کامل توانایی شارژ دهی به اندازه‌ی گرفتن 300 عکس را دارد.,+1,data/main/Fujifilm FinePix F660EXR.xml
44,rev-45,عکس‌های گرفته شده نیز بر روی کارت حافظه‌ی SD/SDHC/SDXC ذخیره می‌شوند.,0,data/main/Fujifilm FinePix F660EXR.xml
45,rev-46,به هر صورت همان‌طور که گفتیم،  F660 دوربین کامپکت سوپر زوم بسیار خوبیست که از ویژگی‌ها و فن آوری های خیلی پیشرفته و خوبی بهره می‌برد.,+2,data/main/Fujifilm FinePix F660EXR.xml
46,rev-47,از این جمله می‌توان به طراحی و ساخت بسیار با کیفیت و ارگونومیک،  مودهای عکاسی حرفه ای،  توانایی ضبط ویدیویی 1080p Full HD،  سنسور بسیار پیشرفته و با کیفیت،  نمایشگر خیلی خوب و از همه بهتر لنز با توانایی زوم 15 برابر اشاره کرد.,+2,data/main/Fujifilm FinePix F660EXR.xml
47,rev-48,در آینده و با ورود این محصول به بازار سعی می‌کنیم اطلاعات بیشتری را از آن ارایه کنیم.,0,data/main/Fujifilm FinePix F660EXR.xml
48,rev-49,به روز رسانی: از نظر مقدار نویز،  در حساسیت‌های پایین عکس‌های این دوربین وضعیت خیلی خوبی دارند.,+2,data/main/Fujifilm FinePix F660EXR.xml
49,rev-50,در ایزو 100 نویزی مشاهده نمی‌شود ولی در ایزو 200 در هنگامی که بزرگنمایی را 100 درصد می‌کنید مقداری نویز مشاهده می‌گردد.,0,data/main/Fujifilm FinePix F660EXR.xml
50,rev-51,این وضعیت تا ایزو 800 به مراتب بدتر می‌گردد.,-1,data/main/Fujifilm FinePix F660EXR.xml
51,rev-52,پس از آن گویی سیستم کاهش نویز درونی دوربین به یکباره به کار می‌افتد که البته مقداری افراط می‌کند و در حساسیت 1600 شاهد کاسته شدن از غلظت رنگ‌ها و مقدار جزئیات هستیم.,-1,data/main/Fujifilm FinePix F660EXR.xml
52,rev-53,در حساسیت‌های 6400 و 12800 نیز برای اینکه نویز نمود کمتری داشته باشد از رزولوشن عکس کاسته می‌شود.,0,data/main/Fujifilm FinePix F660EXR.xml
53,rev-54,با این حال در کل عکس‌ها از نظر نور دهی و رنگ‌ها خیلی خوب هستند.,+2,data/main/Fujifilm FinePix F660EXR.xml
0,gr-1-1,دوربين خوبيه عکس هاي که باهاش گرفتم خيلي خوبه اما در فيلم برداري سوژه رو چند لحظه گم مي کنه و بعد از چند ثانيه فوکس مي کنه اما در عکس گرفتن مي تونم بگم بي نظيره.,+1,data/main/Fujifilm FinePix F660EXR.xml
0,gr-2-1,هم عکسش عاليه هم فيلم ,+2,data/main/Fujifilm FinePix F660EXR.xml
0,gr-3-1,سلام  سه چهار روزي ميشه که اين به اصطلاح دوربينو گرفتم اصلا  از کيفيت عکساش راضي نيستم در حد 5 يا 6 مگا پيکسله  فيلمي هم که باهاش ميگيري هي گير ميکنه صداشم قطع و وصل ميشه,-2,data/main/Fujifilm FinePix F660EXR.xml
0,gr-4-1,با سلام خدمت دوستان بعد از شش ماه تحقيق راجع به دوربين به طور ناخواسته اينو خريدم و امروز به دستم رسيد.,0,data/main/Fujifilm FinePix F660EXR.xml
1,gr-4-2,بعد از آشنا شدن با تنظيمات دوربين و عکسهايي که گرفتم ميتونم بگم با کمي دقت و يادگيري فنون عکاسي ميشه عکسهاي فوق العاده اي انداخت کيفيت فيلمش هم عالي بود برخلاف انتظار باطريش هم خوب بود دو ساعت باهاش کار کردم ولي باطريش هنوز تموم نشده دوربين جمع و جوريه و هيچ ايرادي نداره و پيشنهاد ميکنم در خريدش شک نکنيد.,+2,data/main/Fujifilm FinePix F660EXR.xml
2,gr-4-3,قبل از خريد فنون عکاسي رو ياد بگيريد.,0,data/main/Fujifilm FinePix F660EXR.xml
3,gr-4-4,تنها عيبش به نظر من اين بود که باطريش دير شارژ شد.,-1,data/main/Fujifilm FinePix F660EXR.xml
0,gr-5-1,سلام خدمت همه علاقمندان به عکاسي خوب من مدل f500 اين دوربين رو داشتم که بعد از کلي تحقيق با توجه به قيمت مناسبش خريداري کردم البته اين مدل با مدل قبلي هيچ تفاوتي نداره کيفت عکسهاي تو نور روز تا حدي مي تونه راضي کننده باشه کيفيت فيلم برداريش اصلا خوب نيست صداي زوم لنز خيلي آزار دهنده هست کيفيت بدنه هم اصلا جالب نيست ولي خوب براي ثبت لحظه هاي آماتوري تو نور روز ميشه گفت خوبه تو اين رنج قيمت,+1,data/main/Fujifilm FinePix F660EXR.xml
0,gr-6-1,دوربين بسيار قوي با حسگر فوق العاده.,+2,data/main/Fujifilm FinePix F660EXR.xml
1,gr-6-2,به جرات ميگم با سوني قابل مقايسه نيست!,0,data/main/Fujifilm FinePix F660EXR.xml
2,gr-6-3,رنگ هاي زنده.,+1,data/main/Fujifilm FinePix F660EXR.xml
3,gr-6-4,براي کاهش نويز هم ميشه سرعت شاتر رو با زاويه نور تنظيم کرد.,+1,data/main/Fujifilm FinePix F660EXR.xml
4,gr-6-5,فيلم برداري 320 فريم بر ثانيه اش فوق العادس!,+2,data/main/Fujifilm FinePix F660EXR.xml
0,gr-7-1,من نميدونم فوجي فيلم چي رو داره تغيير ميده.,0,data/main/Fujifilm FinePix F660EXR.xml
1,gr-7-2,همشون شبيه f500 هستن.,0,data/main/Fujifilm FinePix F660EXR.xml
2,gr-7-3,شايد فوق فوقش تغييرات خيلي جزئي تو مدلهاي جديد بدن.,0,data/main/Fujifilm FinePix F660EXR.xml
3,gr-7-4,وگرنه اگه f550 رو بگيرين و مدلهاي ديگش مقايسه کنين،  به تغييرات خيلي زيادي نميرسين.,-1,data/main/Fujifilm FinePix F660EXR.xml
4,gr-7-5,به نظرم از همشون بهتر همون f550 هستش.,0,data/main/Fujifilm FinePix F660EXR.xml
5,gr-7-6,تازه اينم که GPS نداره.,-1,data/main/Fujifilm FinePix F660EXR.xml
0,rev-1,بسیار خوب،  ST68 کمی گران قیمت تر است که به دلیل سنسور تصویر با رزولوشن دو مگاپیکسل بیشتر آن می باشد.,0,data/main/Samsung ST68.xml
1,rev-2,به هر صورت هر دو رزولوشن کاملا بالا هستند تا به خوبی جوابگوی نیازهای عکاسی روزانه باشند.,+1,data/main/Samsung ST68.xml
2,rev-3,با توجه به لنز واید 25 میلی متری که بر روی این دوربین ها قرار گرفته،  می توانید مطمئن باشید که در هر کادر می توان میدان دید گسترده ای را ثبت کرد تا بنابراین این دوربین کاملا مناسب عکاسی از منظره هم باشد.,+2,data/main/Samsung ST68.xml
